Lon/X,Lat/Y,Hei/H
-0.654516147,52.05825584,75.10883467
-0.654223377,52.05825584,75.39309136
-0.653930607,52.05825584,75.37548303
-0.653637837,52.05825584,75.12592449
-0.653345067,52.05825584,74.9918683
-0.653052297,52.05825584,74.97520281
-0.652759527,52.05825584,75.17608482
-0.652466756,52.05825584,75.52387702
-0.652173986,52.05825584,76.03335218
-0.651881216,52.05825584,76.32759966
-0.651588446,52.05825584,76.55190454
-0.651295676,52.05825584,76.70065535
-0.651002906,52.05825584,76.83123358
-0.650710136,52.05825584,77.13643245
-0.650417366,52.05825584,77.68812102
-0.650124596,52.05825584,78.06423477
-0.649831826,52.05825584,78.37514077
-0.649539055,52.05825584,78.61347371
-0.649246285,52.05825584,78.78396883
-0.648953515,52.05825584,78.88525796
-0.648660745,52.05825584,78.88211127
-0.648367975,52.05825584,78.77178784
-0.648075205,52.05825584,78.83302414
-0.647782435,52.05825584,79.26854822
-0.647489665,52.05825584,79.69285141
-0.647196895,52.05825584,80.10053854
-0.646904125,52.05825584,80.4766855
-0.646611354,52.05825584,80.74496827
-0.646318584,52.05825584,80.93794623
-0.646025814,52.05825584,81.01028238
-0.645733044,52.05825584,81.41606911
-0.645440274,52.05825584,81.95507733
-0.645147504,52.05825584,82.5925537
-0.644854734,52.05825584,83.30984079
-0.644561964,52.05825584,84.07822746
-0.644269194,52.05825584,84.9254273
-0.643976424,52.05825584,85.78663866
-0.643683654,52.05825584,86.58194977
-0.643390883,52.05825584,87.10018823
-0.643098113,52.05825584,87.51080144
-0.642805343,52.05825584,87.91234375
-0.642512573,52.05825584,88.49302552
-0.642219803,52.05825584,88.9159394
-0.641927033,52.05825584,89.25653748
-0.641634263,52.05825584,89.58088685
-0.641341493,52.05825584,89.99143623
-0.641048723,52.05825584,90.44668955
-0.640755953,52.05825584,90.87374028
-0.640463182,52.05825584,91.27617104
-0.640170412,52.05825584,91.66574072
-0.639877642,52.05825584,92.0801295
-0.639584872,52.05825584,92.41547643
-0.639292102,52.05825584,92.67889275
-0.638999332,52.05825584,92.73729065
-0.638706562,52.05825584,92.74983241
-0.638413792,52.05825584,92.72106675
-0.638121022,52.05825584,92.58510477
-0.637828252,52.05825584,92.52314946
-0.637535481,52.05825584,92.52047796
-0.637242711,52.05825584,92.23971662
-0.636949941,52.05825584,92.32864499
-0.636657171,52.05825584,92.77784685
-0.636364401,52.05825584,93.20689491
-0.636071631,52.05825584,93.56597372
-0.635778861,52.05825584,93.84939867
-0.635486091,52.05825584,94.26006316
-0.635193321,52.05825584,94.76151422
-0.634900551,52.05825584,95.36708457
-0.634607781,52.05825584,95.76420944
-0.63431501,52.05825584,96.19180386
-0.63402224,52.05825584,96.67802757
-0.63372947,52.05825584,97.15516607
-0.6334367,52.05825584,97.51763017
-0.63314393,52.05825584,97.70980278
-0.63285116,52.05825584,97.96628539
-0.63255839,52.05825584,98.29861904
-0.63226562,52.05825584,98.74417692
-0.63197285,52.05825584,99.05810245
-0.63168008,52.05825584,99.2862938
-0.631387309,52.05825584,99.39353379
-0.631094539,52.05825584,99.43066315
-0.630801769,52.05825584,99.52598835
-0.630508999,52.05825584,99.77366802
-0.630216229,52.05825584,99.67116683
-0.629923459,52.05825584,99.48602784
-0.629630689,52.05825584,99.30225396
-0.629337919,52.05825584,99.33126185
-0.629045149,52.05825584,99.51561371
